Date,Product_ID,Quantity,Revenue
2022-04-13,4,9,86.58356038907614
2022-12-15,4,7,94.20714947988527
2022-09-28,4,1,80.68065860025492
2022-04-17,3,1,70.20894292428058
2022-03-13,3,9,62.26179592928092
2022-07-08,3,9,43.50544899055688
2022-01-21,1,4,94.61200982120006
2022-04-13,4,9,97.62974530797855
2022-05-02,3,3,35.552887726371914
2022-08-03,3,7,37.48274743099541
2022-11-27,1,6,53.705237822760395
2022-03-29,3,8,50.35817286876226
2022-04-10,1,9,99.50117163497386
2022-12-26,2,5,25.833272740961085
2022-06-01,3,1,11.626782725396879
2022-05-11,2,3,54.450434366509114
2022-05-30,1,8,26.094043829919592
2022-11-05,4,6,42.982190612457394
2022-09-15,3,8,76.97534707509061
2022-12-10,1,9,74.88459318269163
2022-10-21,4,4,37.72547126671503
2022-07-11,4,1,58.82862074994094
2022-10-04,2,1,55.7932669154884
2022-06-10,1,4,67.2699356367306
2022-11-10,4,7,32.54156367450257
2022-01-22,3,2,63.08837628044895
2022-09-10,3,3,98.10035724475081
2022-08-24,2,1,53.80679376635096
2022-12-11,4,5,91.54889089466987
2022-02-18,1,1,49.09549289593858
2022-02-28,3,8,41.50705669252081
2022-06-19,4,1,68.05930258275083
2022-07-07,4,1,70.20316536967897
2022-09-28,2,2,87.77508085647128
2022-07-09,3,2,30.716674141739976
2022-06-24,3,6,54.92740418962771
2022-02-20,1,7,61.48037792882648
2022-12-30,3,5,79.16986128756781
2022-02-24,1,1,13.924339457899038
2022-09-01,3,1,99.50954597176069
2022-11-16,2,3,52.295006259184866
2022-05-11,3,2,35.16043076170827
2022-11-03,1,5,89.5144620039633
2022-05-15,1,6,77.29468965076725
2022-01-21,2,7,95.77646623215578
2022-11-25,3,4,39.767527420346234
2022-06-16,3,7,59.748847015194094
2022-10-01,2,8,61.50632222537545
2022-03-30,3,1,98.22984253444412
2022-11-12,3,6,16.78116304055154
2022-01-14,1,8,37.512731735846366
2022-08-30,3,5,27.18199280353114
2022-09-22,3,4,34.162737120114116
2022-12-12,2,2,53.67518868486841
2022-02-22,2,6,43.541818038464434
2022-12-06,4,6,45.5222320128525
2022-04-02,1,1,85.97918266536803
2022-09-21,3,9,93.70151513297486
2022-02-04,3,6,16.337451776458952
2022-07-25,4,3,28.802684585382416
2022-03-22,3,4,70.40291651416456
2022-02-19,1,4,42.27821031665475
2022-12-26,4,3,32.87472841627649
2022-01-02,1,3,36.57615295770449
2022-02-23,4,3,39.02956878147405
2022-04-16,4,4,86.3802815432207
2022-09-17,2,7,22.295919829782594
2022-11-06,1,4,73.80198972191067
2022-07-10,3,9,59.753797921711694
2022-08-06,3,1,36.68591292830186
2022-02-13,1,8,47.780277080164886
2022-06-11,3,7,33.05862492350123
2022-07-21,3,2,65.03623397791125
2022-09-27,1,8,17.343476236021633
2022-12-17,4,1,10.46663764965881
2022-10-31,1,9,66.51049734537725
2022-09-28,4,9,27.4846558160838
2022-08-03,3,2,16.38468252999349
2022-09-09,3,7,45.71054444924995
2022-07-09,3,3,14.569167793545724
2022-10-23,2,7,89.79554340555939
2022-08-01,4,9,12.485509468633424
2022-07-27,2,4,62.09784059568028
2022-08-25,2,1,49.462671071627824
2022-12-04,1,2,70.48235217656794
2022-02-22,2,1,39.53374007272588
2022-10-07,1,5,23.953745505496975
2022-08-05,1,5,98.3656799479478
2022-09-09,2,7,85.5040151862427
2022-07-07,4,9,87.43641564805077
2022-02-10,4,9,32.52262244642776
2022-06-06,4,3,13.495126098648088
2022-01-15,4,3,37.29389632059005
2022-10-28,4,3,58.33741844769899
2022-03-06,2,4,39.39861176164368
2022-12-11,2,8,84.50821034088298
2022-11-23,3,6,34.43886242377677
2022-01-09,4,8,96.87266473516928
2022-12-10,2,1,51.15386454523557
2022-05-09,3,8,85.78207675107832
